checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2012,5,132,Digital,OverDrive,EBOOK,The Omnivore's Dilemma: The Secrets Behind What You Eat,,Michael Pollan,"Cooking & Food, Health & Fitness, Young Adult Nonfiction","Penguin Group (USA), Inc.",2009,balanced_by_year_and_usageclass
2012,6,130,Digital,OverDrive,EBOOK,The Paleo Diet: Lose Weight and Get Healthy by Eating the Foods You Were Designed to Eat,,Loren Cordain,"Health & Fitness, Nonfiction","John Wiley & Sons, Inc.",2011,balanced_by_year_and_usageclass
2012,7,115,Digital,Freegal | OverDrive,EBOOK | SONG,The One That Got Away,,Jake Owen | Kidz Bop Kids | Natasha Bedingfield | P!nk | The One That Got Away | Victoria Alexander,"Fiction, Romance",HarperCollins Publishers Inc.,2011,balanced_by_year_and_usageclass
2012,8,114,Digital,OverDrive,EBOOK,Cocktail Hour Under the Tree of Forgetfulness,,Alexandra Fuller,"Biography & Autobiography, Nonfiction","Penguin Group (USA), Inc.",2011,balanced_by_year_and_usageclass
2012,9,111,Digital,OverDrive,EBOOK,"The Paleo Diet Cookbook: More than 150 recipes for Paleo Breakfasts, Lunches, Dinners, Snacks, and Beverages",,Loren Cordain,"Cooking & Food, Nonfiction","John Wiley & Sons, Inc.",2011,balanced_by_year_and_usageclass
2012,10,101,Digital,OverDrive,EBOOK,The Orchardist,,Amanda Coplin,"Fiction, Literature",HarperCollins Publishers Inc.,2012,balanced_by_year_and_usageclass
2013,1,613,Digital,OverDrive,EBOOK,The Paris Wife: A Novel,,Paula McLain,"Fiction, Historical Fiction, Literature","Random House, Inc.",2011,balanced_by_year_and_usageclass
2013,2,502,Digital,Zinio,MAGAZINE,Consumer Reports,,,,,,balanced_by_year_and_usageclass
2013,3,445,Digital,Zinio,MAGAZINE,Newsweek,,,,,,balanced_by_year_and_usageclass
2013,4,343,Digital,OverDrive,EBOOK,"The Passage: The Passage Series, Book 1",,Justin Cronin,"Fantasy, Fiction, Thriller","Random House, Inc.",2010,balanced_by_year_and_usageclass
2013,5,307,Digital,OverDrive,EBOOK,The Power of Habit: Why We Do What We Do in Life and Business,,Charles Duhigg,"Business, Nonfiction, Psychology, Self-Improvement","Random House, Inc.",2012,balanced_by_year_and_usageclass
2013,6,281,Digital,Freegal | OverDrive,EBOOK | SONG,Never Let Me Go,,Kazuo Ishiguro | Massimo Farao Trio,"Fiction, Literature, Science Fiction","Random House, Inc.",2009,balanced_by_year_and_usageclass
2013,7,209,Digital,Zinio,MAGAZINE,New York Review of Books,,,,,,balanced_by_year_and_usageclass
2013,8,203,Digital,OverDrive,EBOOK,Cloud Atlas: A Novel,,David Mitchell,"Fantasy, Fiction, Historical Fiction, Literature","Random House, Inc.",2009,balanced_by_year_and_usageclass
2013,9,192,Digital,OverDrive,EBOOK,"Never Seduce a Scot: The Montgomerys and Armstrongs Series, Book 1",,Maya Banks,"Erotic Literature, Fiction, Historical Fiction, Romance","Random House, Inc.",2012,balanced_by_year_and_usageclass
