checkoutyear,rank_in_year,total_sampled_checkouts,usageclass,checkouttype,materialtype,title,isbn,creator,subjects,publisher,publicationyear,sample_design
2008,7,344,Physical,Horizon,VIDEODISC,"The illusionist [videorecording] / Bull's Eye Entertainment ; Bob Yari Productions ; Contagious Entertainment ; Michael London Productions ; Stillking Films ; produced by Brian Koppelman, David Levien, Michael London, Cathy Schulman, Bob Yari ; screenplay by Neil Burger ; directed by Neil Burger.",,,"Magicians Austria Vienna Drama, Hallucinations and illusions Austria Vienna Drama, Magic tricks Austria Vienna Drama, Criminal behavior Austria Vienna Drama, Criminal investigation Austria Vienna Drama, Feature films, Thrillers Motion pictures, Fiction films, Detective and mystery films","20th Century Fox Home Entertainment,",[2007],balanced_by_year_and_usageclass
2008,8,327,Physical,Horizon,VIDEODISC,"The hitchhiker's guide to the galaxy [videorecording] / a Barber/Birnbaum production, a Hammer and Tongs production, an Everyman Pictures ; producers, Gary Barber ... [and others] ; screenplay by Douglas Adams and Karey Kirkpatrick ; directed by Garth Jennings.",,,"Prefect Ford Fictitious character Drama, Dent Arthur Fictitious character Drama, End of the world Drama, Feature films, Science fiction films, Comedy films, Fiction films, Video recordings for the hearing impaired","Touchstone Home Entertainment : Distributed by Buena Vista Home Entertainment,",[2005],balanced_by_year_and_usageclass
2008,9,322,Physical,Horizon,VIDEODISC,"The good German [videorecording] / Warner Bros. Pictures presents in association with Virtual Studios ; a Section Eight production ; produced by Ben Cosgrove, Gregory Jacobs ; screenplay by Paul Attanasio ; directed by Steven Soderbergh.",,,"War correspondents Germany Berlin Drama, Missing persons Investigation Drama, Triangles Interpersonal relations Drama, Black market Drama, Berlin Germany Drama, Feature films, Video recordings for the hearing impaired, Thrillers Motion pictures, Detective and mystery films","Warner Home Video,","2007, c2006.",balanced_by_year_and_usageclass
2008,10,312,Physical,Horizon,VIDEODISC,"The history boys [videorecording] / Fox Searchlight Pictures and DNA Films and BBC Two Films ; in association with the UK Film Council ; a National Theatre production ; produced by Nicholas Hytner, Damian Jones, Kevin Loader ; screenplay by Alan Bennett ; directed by Nicholas Hytner.",,,"Teacher student relationships Drama, Education Drama, Boarding schools Drama, England Drama, Feature films, Fiction films, Comedy films, Video recordings for the hearing impaired","20th Century Fox Home Entertainment,",2007.,balanced_by_year_and_usageclass
2009,1,1125,Physical,Horizon,VIDEODISC,"The incredible Hulk [videorecording] / Universal Pictures ; Marvel Entertainment ; a Marvel Studios production ; a Valhalla Motion Pictures production ; produced by Avi Arad, Kevin Feige, Gale Anne Hurd ; screen story and screenplay by Zak Penn ; directed by Louis Leterrier.",,,"Hulk Fictitious character Drama, Scientists Drama, Man woman relationships Drama, Antidotes Drama, Science fiction films, Superhero films, Fantasy films, Video recordings for the hearing impaired, Fiction films, Feature films, Thrillers Motion pictures","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
2009,2,804,Physical,Horizon,VIDEODISC,"The kite runner [videorecording] / DreamWorks Pictures ; Paramount Classics ; Participant Productions ; a Sidney Kimmel Entertainment and Parkes/MacDonald production ; produced by William Horberg, Walter Parkes, Rebecca Yeldham and E. Bennett Walsh ; screenplay by David Benioff ; directed by Marc Forster.",,,"Kabul Afghanistan Drama, Male friendship Drama, Social classes Drama, Afghanistan Drama, Betrayal Drama, Boys Drama, Thrillers Motion pictures, Video recordings for the hearing impaired, Feature films","Paramount Home Entertainment,",[2008],balanced_by_year_and_usageclass
2009,3,755,Physical,Horizon,VIDEODISC,"Mamma mia! [videorecording] / Universal Pictures ; a Playtone/Littlestar production ; produced by Judy Craymer, Gary Goetzman ; screenplay by Catherine Johnson ; directed by Phyllida Lloyd.",,,"Mothers and daughters Drama, Fathers and daughters Drama, Weddings Drama, Man woman relationships Drama, Greece Drama, Musical films, Romantic comedy films, Video recordings for the hearing impaired, Feature films, Fiction films","Universal Studios Home Entertainment,",c2008.,balanced_by_year_and_usageclass
2009,4,726,Physical,Horizon,VIDEODISC,"The illusionist [videorecording] / Bull's Eye Entertainment ; Bob Yari Productions ; Contagious Entertainment ; Michael London Productions ; Stillking Films ; produced by Brian Koppelman, David Levien, Michael London, Cathy Schulman, Bob Yari ; screenplay by Neil Burger ; directed by Neil Burger.",,,"Magicians Austria Vienna Drama, Hallucinations and illusions Austria Vienna Drama, Magic tricks Austria Vienna Drama, Criminal behavior Austria Vienna Drama, Criminal investigation Austria Vienna Drama, Feature films, Thrillers Motion pictures, Fiction films, Detective and mystery films","20th Century Fox Home Entertainment,",[2007],balanced_by_year_and_usageclass
2009,5,509,Physical,Horizon,VIDEODISC,Cleaner,,,"Police corruption Drama, Video recordings for the hearing impaired, Murder Investigation Drama, Suspense films, Feature films, Thrillers Motion pictures, Ex police officers Drama, Fiction films, Crime scenes Cleaning Drama",,,balanced_by_year_and_usageclass
2009,6,500,Physical,Horizon,VIDEODISC,"The hunting party [videorecording] / The Weinstein Company ; QED International ; Intermedia ; a Gran Via/QED/Intermedia production ; a Cherry Road Films production ; produced by Mark Johnson, Scott Kroopf, Bill Block ; written, directed by Richard Shepard.",,,"Television journalists Drama, War criminals Drama, Missing persons Drama, Bosnia and Hercegovina Drama, Feature films, War films, Action and adventure films, Thrillers Motion pictures, Video recordings for the hearing impaired","The Weinstein Company Home Entertainment ; Distributed by Genius Products,",2008.,balanced_by_year_and_usageclass
