usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear,sample_design
Physical,Horizon,BOOK,2011,1,97,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2011,2,90,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2011,3,97,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2011,4,103,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2011,5,82,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2011,6,100,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2011,7,87,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2011,9,81,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,BOOK,2011,10,102,Cleopatra : a life / Stacy Schiff.,,"Schiff, Stacy","Cleopatra Queen of Egypt 30 B C, Queens Egypt Biography, Egypt Kings and rulers Biography, Egypt History 332 30 B C","Little, Brown and Co.,",c2010.,balanced_by_year_and_usageclass
Physical,Horizon,VIDEODISC,2012,5,219,"Midnight in Paris [videorecording] / Sony Pictures Classics ; a Mediapro, Versátil Cinema & Gravier production ; a Pontchartrain production ; produced by Letty Aronson, Stephen Tenenbaum, Jaume Roures ; written and directed by Woody Allen.",,,"Paris France Drama, Time travel Drama, Fianc‚s Drama, Fianc‚es Drama, Feature films, Fiction films, Fantasy films, Comedy films, Video recordings for the hearing impaired","Sony Pictures Classics,",c2011.,balanced_by_year_and_usageclass
